393	py/syntax-error	error	packages/case-uco-solveit/python/case_uco_solveit/solveit_data.py:9	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/393
394	py/unused-import	note	mcp_server/tests/test_extension_paths.py:8	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/394
395	py/unused-local-variable	note	examples/scenarios/phantom_gate_longtail.py:40	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/395
396	py/unused-local-variable	note	examples/scenarios/phantom_gate_longtail.py:46	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/396
397	py/unused-local-variable	note	examples/scenarios/phantom_gate_longtail.py:52	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/397
398	py/unused-local-variable	note	examples/scenarios/phantom_gate_longtail.py:59	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/398
399	py/unused-local-variable	note	examples/scenarios/phantom_gate_longtail.py:60	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/399
400	py/unused-local-variable	note	examples/scenarios/phantom_gate_longtail.py:63	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/400
401	py/unused-local-variable	note	examples/scenarios/phantom_gate_longtail.py:66	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/401
402	py/unused-local-variable	note	examples/scenarios/phantom_gate_longtail.py:84	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/402
403	py/unused-local-variable	note	examples/scenarios/phantom_gate_longtail.py:85	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/403
404	py/unused-local-variable	note	examples/scenarios/phantom_gate_longtail.py:94	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/404
405	py/unused-local-variable	note	examples/scenarios/phantom_gate_longtail.py:96	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/405
406	py/unused-local-variable	note	examples/scenarios/phantom_gate_longtail.py:102	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/406
407	py/unused-local-variable	note	examples/scenarios/phantom_gate_longtail.py:108	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/407
408	py/unused-local-variable	note	examples/scenarios/phantom_gate_longtail.py:111	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/408
409	py/unused-local-variable	note	examples/scenarios/phantom_gate_longtail.py:114	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/409
410	py/empty-except	note	python/case_uco/graph.py:527	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/410
413	py/unused-import	note	mcp_server/validation_bundle.py:12	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/413
414	py/unused-import	note	mcp_server/validation_bundle.py:16	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/414
417	cs/linq/missed-where	note	csharp/CaseUco/CaseGraph.cs:665	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/417
418	cs/linq/missed-where	note	csharp/CaseUco/CaseGraph.cs:697	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/418
419	cs/inefficient-containskey	note	csharp/CaseUco/CaseGraph.cs:132	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/419
420	cs/inefficient-containskey	note	csharp/CaseUco/CaseGraph.cs:145	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/420
421	cs/inefficient-containskey	note	csharp/CaseUco/CaseGraph.cs:660	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/421
422	cs/inefficient-containskey	note	csharp/CaseUco/CaseGraph.cs:663	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/422
423	cs/inefficient-containskey	note	csharp/CaseUco/CaseGraph.cs:707	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/423
424	cs/nested-if-statements	note	csharp/CaseUco/CaseGraph.cs:612	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/424
425	cs/nested-if-statements	note	csharp/CaseUco/CaseGraph.cs:719	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/425
426	cs/linq/missed-select	note	csharp/CaseUco/CaseGraph.cs:282	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/426
427	py/empty-except	note	python/case_uco/graph.py:537	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/427
428	py/empty-except	note	mcp_server/validation_bundle.py:230	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/428
429	py/import-and-import-from	note	mcp_server/knowledge_lifecycle.py:279	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/429
430	py/import-and-import-from	note	mcp_server/knowledge_lifecycle.py:324	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/430
431	py/import-and-import-from	note	mcp_server/tests/test_validation_bundle.py:112	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/431
432	py/import-and-import-from	note	mcp_server/tests/test_validation_bundle.py:148	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/432
433	py/unused-import	note	python/case_uco/graph.py:11	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/433
434	py/unused-local-variable	note	examples/upper-ontology/solveit-plan-execution/build_exemplar.py:46	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/434
435	py/unused-local-variable	note	examples/upper-ontology/foaf-org/build_exemplar.py:91	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/435
436	py/unused-local-variable	note	examples/upper-ontology/geosparql/build_exemplar.py:115	https://github.com/vulnmaster/CASE-UCO-SDK/security/code-scanning/436
